1,ā,.perfix.,,, up to$(prep$) from$towards$Until$as far as compounded with nouns:$Much used in combination with verbs and their derivatives$,,,,1,100,1,uhan_en,en
2,ababa,.n:base.,.nt.,, ṅame of a purgatory$a numeral with 76 ciphers$One of the high numerals representing 10，000，000(to the 11th power)$1 followed by seventy-seven ciphers,,,,1,100,5,uhan_en,en
3,ababhāsa,.n:base.,.m.,, light$appearance$,,,,1,100,8,uhan_en,en
4,abaddha,.adj:base.,,, unfettered$free$not bound$Not bound$unmeaning$senseless,,,,1,100,7,uhan_en,en
5,ābaddha,.adj:base.,.pp.,ābandhati, bound to$fastened on to$Fastened$joined$united$attached,,,,1,100,7,uhan_en,en
6,abaddhamukha,.n:base.,.m.,,  Foul-mouthed$scurrilous$obscenely abusive,,,,1,100,12,uhan_en,en
7,abādha,.adj:base.,,, without any hindrance$,,,,1,100,6,uhan_en,en
8,ābādha,.n:base.,.m.,, disease$affliction$Illness$sickness$disease,,,,1,100,6,uhan_en,en
9,abādhesi,.v.,.aor.,ābādheti, oppressed$harassed$,,,,1,100,8,uhan_en,en
10,ābādheti,.v.,,, oppresses$harasses$,,ā+badh+e,,1,100,8,uhan_en,en
11,ābādhika,.adj:base.,,, sick$affected with illness$Affected with illness$sick,,,,1,100,8,uhan_en,en
12,ābādhita,.adj:base.,.pp.,ābādheti, afflicted$oppressed$,,,,1,100,8,uhan_en,en
13,ābajjhati,.v.,,,  To be bound$fettered$held fast,,,,1,100,9,uhan_en,en
14,abala,.adj:base.,,, weak$feeble$Weak$feeble$abalā$a woman,,,,1,100,5,uhan_en,en
15,abalā,.n:base.,.f.,, a woman$,,,,1,100,5,uhan_en,en
16,ābandhaka,.adj:base.,,, tying$connecting$fixing$,,,,1,100,9,uhan_en,en
17,abandhana,.adj:base.,,, unfettered$free$not bound$,,,,1,100,9,uhan_en,en
18,ābandhati,.v.,,, binds to$fastens on to$,,ā+bandh+a,,1,100,9,uhan_en,en
19,ābandhi,.v.,.aor.,ābandhati, bound to$fastened on to$,,,,1,100,7,uhan_en,en
20,abbahati,.v.,,,  To take away$to remove,,,,1,100,8,uhan_en,en
21,abbaṇa,.adj:base.,,, woundless$Unwounded,,,,1,100,6,uhan_en,en
22,abbata,.adj:base.,,, without moral obligations$,,,,1,100,6,uhan_en,en
23,abbha,.n:base.,.nt.,, sky$cloud$A cloud$the sky$airA cloud$the sky$air,,,,1,100,5,uhan_en,en
24,abbhācikkhana,.n:base.,.nt.,, accusation$slander$,,,,1,100,13,uhan_en,en
25,abbhācikkhati,.v.,,, accuses$culminates$To accuse$to slander$to calumniate,,abhi+ā+cikkh+a,,1,100,13,uhan_en,en
26,abbhācikkhi,.v.,.aor.,abbhācikkhati, accused$culminated$,,,,1,100,11,uhan_en,en
27,abbhāgamana,.n:base.,.nt.,, arrival$coming forward$Approaching$going to$visiting,,,,1,100,11,uhan_en,en
28,abbhāgata,.ti:base.,,,  -3 a guest$a stranger$(pp$) arrived$,,,,1,100,9,uhan_en,en
29,abbhāhata,.adj:base.,.pp.,abbhāhanati, attacked$afflicted$Afflicted,,,,1,100,9,uhan_en,en
30,abbhaka,.n:base.,.nt.,, graphite$plumbago$Tale,,,,1,100,7,uhan_en,en
31,abbhakalekhanī,.n:base.,.f.,, pencil$,,,,1,100,14,uhan_en,en
32,abbhakkhāna,.n:base.,.nt.,,   false accusation$slander$)Accusation$slander$calumny,,,,1,100,11,uhan_en,en
33,abbhakkhāsi,.v.,.aor.,abbhakkhāti, slandered$spoke against$,,,,1,100,11,uhan_en,en
34,abbhakkhāti,.v.,,, slanders$speaks against$,,abhi+ā+khā+a,,1,100,11,uhan_en,en
35,abbhakūṭa,.n:base.,.nt.,, the summit of a storm-cloud$,,,,1,100,9,uhan_en,en
36,abbhākuṭika,.ti:base.,,,  Unfrowning$genial,,,,1,100,11,uhan_en,en
37,abbhāmatta,.adj:base.,,, of the size of a cloud$,,,,1,100,10,uhan_en,en
38,abbhāna,.n:base.,.nt.,,  Rehabilitation of a monk or a nun who has undergone parivāsa$or penance for an expiable offence,,,,1,100,7,uhan_en,en
39,abbhañjana,.n:base.,.nt.,,$anointing$oiling$unguent$Annointing,,,,1,100,10,uhan_en,en
40,abbhañjati,.v.,,, anoints$lubricates$,,abhi+añj+a,,1,100,10,uhan_en,en
41,abbhañji,.v.,.aor.,abbhañjati, anointed$lubricated$,,,,1,100,8,uhan_en,en
42,abbhañjita,.adj:base.,.pp.,, annointed$,,,,1,100,10,uhan_en,en
43,abbhantara,.n:base.,.nt.,, the inside$interior$(adj$)$inner$internal$Interval$interiorInternal$inner,,,,1,100,10,uhan_en,en
44,abbhantarika,.adj:base.,,, intimate$confident$,,,,1,100,12,uhan_en,en
45,abbhanumodana,.n:base.,.nt.,,  Rejoicing$thanksgiving,,,,1,100,13,uhan_en,en
46,abbhanumodanā,.n:base.,.f.,, great appreciation$rejoicing after merit$,,,,1,100,13,uhan_en,en
47,abbhapaṭala,.n:base.,.nt.,, a mass of clouds$,,,,1,100,11,uhan_en,en
48,abbhapuppha,.n:base.,.m.,,  Calamus Rotang,,,,1,100,11,uhan_en,en
49,abbhāsa,.n:base.,.m.,,  Repetition$practice,,,,1,100,7,uhan_en,en
50,abbhatīta,.adj:base.,,, gone by$past$,,,,1,100,9,uhan_en,en
51,abbhattha,.n:base.,.nt.,,  Setting$declining$perishing,,,,1,100,9,uhan_en,en
52,abbheti,.ti:base.,,,  To restore a priest$a monk or a nun$who has been degraded for an offence,,,,1,100,7,uhan_en,en
53,abbhisambuddha,.adj:base.,.pp.,abhisambujjhati, gained the highest wisdom$,,,,1,100,14,uhan_en,en
54,abbhokāsa,.n:base.,.m.,, unsheltered place$open air$The open air$an open space,,,,1,100,9,uhan_en,en
55,abbhokāsika,.n:base.,.m.,, one who lives in the open air$Living in the open air$or in an open unsheltered space,,,,1,100,11,uhan_en,en
56,abbhokiṇṇa,.adj:base.,,, crowded$,,,,1,100,10,uhan_en,en
57,abbhokiraṇa,.n:base.,.nt.,,$sprinkling$movements of a dancer$,,,,1,100,11,uhan_en,en
58,abbhokirati,.v.,,, sprinkles over$,,abhi+ava+kir+a,,1,100,11,uhan_en,en
59,abbhokiri,.v.,.aor.,abbhokirati, sprinkled over$,,,,1,100,9,uhan_en,en
60,abbhudesi,.v.,.aor.,abbhudeti, rose$came into existence$,,,,1,100,9,uhan_en,en
61,abbhudeti,.v.,,, rises$comes into existence$,,abhi+udi+e,,1,100,9,uhan_en,en
62,abbhudīrita,.ti:base.,,,  Uttered,,,,1,100,11,uhan_en,en
