670," abandhana",.adj:base.,,,无束缚的$自由的$,,,,1,100,10,bhmf,zh-cn
671," abhijjamāna",.adj:base.,,,未打破的$未分开的$,,,,1,100,12,bhmf,zh-cn
673," addhuva",.adj:base.,,,无永久$,,a-dhuva,无+永久,1,100,8,bhmf,zh-cn
5631," adhas",.adv.,,,向下,(below$,,,1,100,6,bhmf,zh-cn
3363," adhivattha",.adj:base.,.pp.,adhivasati,$滞留在…上$,,,,1,100,11,bhmf,zh-cn
674," agāriya",.adj:base.,,,在家人$俗人,(a householder$ layman),,,1,100,8,bhmf,zh-cn
675," alolupa",.adj:base.,,,不妄羡的$无贪的$,,,,1,100,8,bhmf,zh-cn
677," amānusika",.adj:base.,,,非人$,,,,1,100,10,bhmf,zh-cn
680," aneḷaka",.adj:base.,,,完美的$纯粹的$,,,,1,100,8,bhmf,zh-cn
682," anugāmī",.adj:base.,,,追随的$追随者$信徒$,,,,1,100,8,bhmf,zh-cn
683," anukampī",.adj:base.,,anukampati,慈悲的$体恤的$有同情心的人$,,,,1,100,9,bhmf,zh-cn
678," anāmaṭṭha",.adj:base.,,,不接触的$,,,,1,100,10,bhmf,zh-cn
679," anārambbha",.adj:base.,,,无骚动的$清净的$,,,,1,100,11,bhmf,zh-cn
3364," anūpalitta",.adj:base.,.pp.,,$未全部涂染$,,an+upalitta,,1,100,11,bhmf,zh-cn
685," apacāyī",.adj:base.,,,敬礼$,,,,1,100,8,bhmf,zh-cn
687," aparādhī",.adj:base.,,,犯罪的$罪犯$,,,,1,100,9,bhmf,zh-cn
688," apihālu",.adj:base.,,,不贪婪的$,,,,1,100,8,bhmf,zh-cn
689," appaka",.adj:base.,,,小的$少的$无关重要的$,,,,1,100,7,bhmf,zh-cn
690," appaṭihata",.adj:base.,,,未重击的$不阻隔的$,,,,1,100,11,bhmf,zh-cn
691," apphuta",.adj:base.,,,不触及$不弥漫的,(untouched$ unpervaded$ not penetrated),,,1,100,8,bhmf,zh-cn
686," apādaka",.adj:base.,,,无足的$爬行的$匍匐的$,,,,1,100,8,bhmf,zh-cn
695," asantāsī",.adj:base.,,,不发抖的$大胆的$,,,,1,100,9,bhmf,zh-cn
696," asekkha",.adj:base.,,,无学(毕业者),,,,1,100,8,bhmf,zh-cn
697," asuka",.adj:base.,,,某某$,,,,1,100,6,bhmf,zh-cn
698," atandī",.adj:base.,,,不懒惰的$活跃的$,,,,1,100,7,bhmf,zh-cn
3365," avatiṇṇa",.adj:base.,.pp.,otarati,$已下降$已被困扰$已受影响$fallen into$affected with$,,,,1,100,9,bhmf,zh-cn
5632," aññatra",.adv.,,,别的地方$其他的地方$则否$除了,(#=ṭhapetvā)$,,,1,100,8,bhmf,zh-cn
681," aññoñña",.adj:base.,,,相互的$,,,,1,100,8,bhmf,zh-cn
672," aḍḍhateyya",.adj:base.,,,两个半$,,,,1,100,11,bhmf,zh-cn
684," aṇusahagata",.adj:base.,,,剩余$ 残滓$,,,,1,100,12,bhmf,zh-cn
702," bhavantagū",.adj:base.,,,中)停留的$逗留的$在某种情况中的,,,,1,100,11,bhmf,zh-cn
703," bhayāvaha",.adj:base.,,,可怕的$恐怖的$,,,,1,100,10,bhmf,zh-cn
