id,book,par_num,100,class,title,text
NULL,p93,1,100,centered,,
NULL,p93,2,100,nikaya,,
NULL,p93,3,1,book,Sīlakkhandhavaggapāḷi,戒蕴品
NULL,p93,4,2,chapter,1. Brahmajālasuttaṃ,1、梵网经
NULL,p93,5,4,subhead,Paribbājakakathā,游行者之说
NULL,p93,6,100,bodytext,,
NULL,p93,7,100,bodytext,,
NULL,p93,8,100,bodytext,,
NULL,p93,9,100,bodytext,,
NULL,p93,10,100,bodytext,,
NULL,p93,11,100,bodytext,,
NULL,p93,12,4,subhead,Cūḷasīlaṃ,小戒
NULL,p93,13,100,bodytext,,
NULL,p93,14,100,bodytext,,
NULL,p93,15,100,bodytext,,
NULL,p93,16,100,bodytext,,
NULL,p93,17,100,bodytext,,
NULL,p93,18,100,bodytext,,
NULL,p93,19,100,bodytext,,
NULL,p93,20,100,bodytext,,
NULL,p93,21,100,bodytext,,
NULL,p93,22,100,bodytext,,
NULL,p93,23,100,bodytext,,
NULL,p93,24,100,bodytext,,
NULL,p93,25,100,bodytext,,
NULL,p93,26,100,bodytext,,
NULL,p93,27,100,bodytext,,
NULL,p93,28,100,bodytext,,
NULL,p93,29,100,bodytext,,
NULL,p93,30,100,bodytext,,
NULL,p93,31,100,bodytext,,
NULL,p93,32,100,bodytext,,
NULL,p93,33,100,bodytext,,
NULL,p93,34,100,bodytext,,
NULL,p93,35,100,bodytext,,
NULL,p93,36,100,bodytext,,
NULL,p93,37,100,bodytext,,
NULL,p93,38,100,bodytext,,
NULL,p93,39,100,bodytext,,
NULL,p93,40,100,centered,,
NULL,p93,41,4,subhead,Majjhimasīlaṃ,中戒
NULL,p93,42,100,bodytext,,
NULL,p93,43,100,bodytext,,
NULL,p93,44,100,bodytext,,
NULL,p93,45,100,bodytext,,
NULL,p93,46,100,bodytext,,
NULL,p93,47,100,bodytext,,
NULL,p93,48,100,bodytext,,
NULL,p93,49,100,bodytext,,
NULL,p93,50,100,bodytext,,
NULL,p93,51,100,bodytext,,
NULL,p93,52,100,centered,,
NULL,p93,53,4,subhead,Mahāsīlaṃ,大戒
NULL,p93,54,100,bodytext,,
NULL,p93,55,100,bodytext,,
NULL,p93,56,100,bodytext,,
NULL,p93,57,100,bodytext,,
NULL,p93,58,100,bodytext,,
NULL,p93,59,100,bodytext,,
NULL,p93,60,100,bodytext,,
NULL,p93,61,100,bodytext,,
NULL,p93,62,100,centered,,
NULL,p93,63,4,subhead,Pubbantakappikā,属于过去时间的
NULL,p93,64,100,bodytext,,
NULL,p93,65,100,bodytext,,
NULL,p93,66,4,subhead,Sassatavādo,恒常论
NULL,p93,67,100,bodytext,,
NULL,p93,68,100,bodytext,,
NULL,p93,69,100,bodytext,,
NULL,p93,70,100,bodytext,,
NULL,p93,71,100,bodytext,,
NULL,p93,72,100,bodytext,,
NULL,p93,73,100,bodytext,,
NULL,p93,74,100,bodytext,,
NULL,p93,75,100,bodytext,,
NULL,p93,76,100,bodytext,,
NULL,p93,77,100,bodytext,,
NULL,p93,78,100,centered,,
NULL,p93,79,4,subhead,Ekaccasassatavādo,某部分恒常论
NULL,p93,80,100,bodytext,,
NULL,p93,81,100,bodytext,,
NULL,p93,82,100,bodytext,,
NULL,p93,83,100,bodytext,,
NULL,p93,84,100,bodytext,,
NULL,p93,85,100,bodytext,,
NULL,p93,86,100,bodytext,,
NULL,p93,87,100,bodytext,,
NULL,p93,88,100,bodytext,,
NULL,p93,89,100,bodytext,,
NULL,p93,90,100,bodytext,,
NULL,p93,91,100,bodytext,,
NULL,p93,92,100,bodytext,,
NULL,p93,93,100,bodytext,,
NULL,p93,94,100,bodytext,,
NULL,p93,95,100,bodytext,,
NULL,p93,96,100,bodytext,,
NULL,p93,97,100,bodytext,,
NULL,p93,98,100,bodytext,,
NULL,p93,99,4,subhead,Antānantavādo,有边无边论
NULL,p93,100,100,bodytext,,
NULL,p93,101,100,bodytext,,
NULL,p93,102,100,bodytext,,
NULL,p93,103,100,bodytext,,
NULL,p93,104,100,bodytext,,
NULL,p93,105,100,bodytext,,
NULL,p93,106,100,bodytext,,
NULL,p93,107,100,bodytext,,
NULL,p93,108,100,bodytext,,
NULL,p93,109,100,bodytext,,
NULL,p93,110,100,bodytext,,
NULL,p93,111,4,subhead,Amarāvikkhepavādo,诡辩论
NULL,p93,112,100,bodytext,,
NULL,p93,113,100,bodytext,,
NULL,p93,114,100,bodytext,,
NULL,p93,115,100,bodytext,,
NULL,p93,116,100,bodytext,,
NULL,p93,117,100,bodytext,,
NULL,p93,118,4,subhead,Adhiccasamuppannavādo,自然生论
NULL,p93,119,100,bodytext,,
NULL,p93,120,100,bodytext,,
NULL,p93,121,100,bodytext,,
NULL,p93,122,100,bodytext,,
NULL,p93,123,100,bodytext,,
NULL,p93,124,100,bodytext,,
NULL,p93,125,100,bodytext,,
NULL,p93,126,100,centered,,
NULL,p93,127,4,subhead,Aparantakappikā,属于未来时间的
NULL,p93,128,100,bodytext,,
NULL,p93,129,4,subhead,Saññīvādo,有想论
NULL,p93,130,100,bodytext,,
NULL,p93,131,100,bodytext,,
NULL,p93,132,100,bodytext,,
NULL,p93,133,4,subhead,Asaññīvādo,无想论
NULL,p93,134,100,bodytext,,
NULL,p93,135,100,bodytext,,
NULL,p93,136,100,bodytext,,
NULL,p93,137,4,subhead,Nevasaññīnāsaññīvādo,非想非非想论
NULL,p93,138,100,bodytext,,
NULL,p93,139,100,bodytext,,
NULL,p93,140,100,bodytext,,
NULL,p93,141,4,subhead,Ucchedavādo,断灭论
NULL,p93,142,100,bodytext,,
NULL,p93,143,100,bodytext,,
NULL,p93,144,100,bodytext,,
NULL,p93,145,100,bodytext,,
NULL,p93,146,100,bodytext,,
NULL,p93,147,100,bodytext,,
NULL,p93,148,100,bodytext,,
NULL,p93,149,100,bodytext,,
NULL,p93,150,100,bodytext,,
NULL,p93,151,4,subhead,Diṭṭhadhammanibbānavādo,当生涅槃论
NULL,p93,152,100,bodytext,,
NULL,p93,153,100,bodytext,,
NULL,p93,154,100,bodytext,,
NULL,p93,155,100,bodytext,,
NULL,p93,156,100,bodytext,,
NULL,p93,157,100,bodytext,,
NULL,p93,158,100,bodytext,,
NULL,p93,159,100,bodytext,,
NULL,p93,160,100,bodytext,,
NULL,p93,161,100,bodytext,,
NULL,p93,162,100,bodytext,,
NULL,p93,163,100,bodytext,,
NULL,p93,164,4,subhead,Paritassitavipphanditavāro,（暂缺）
NULL,p93,165,100,bodytext,,
NULL,p93,166,100,bodytext,,
NULL,p93,167,100,bodytext,,
NULL,p93,168,100,bodytext,,
NULL,p93,169,100,bodytext,,
NULL,p93,170,100,bodytext,,
NULL,p93,171,100,bodytext,,
NULL,p93,172,100,bodytext,,
NULL,p93,173,100,bodytext,,
NULL,p93,174,100,bodytext,,
NULL,p93,175,100,bodytext,,
NULL,p93,176,100,bodytext,,
NULL,p93,177,100,bodytext,,
NULL,p93,178,4,subhead,Phassapaccayāvāro,以触为缘章
NULL,p93,179,100,bodytext,,
NULL,p93,180,100,bodytext,,
NULL,p93,181,100,bodytext,,
NULL,p93,182,100,bodytext,,
NULL,p93,183,100,bodytext,,
NULL,p93,184,100,bodytext,,
NULL,p93,185,100,bodytext,,
NULL,p93,186,100,bodytext,,
NULL,p93,187,100,bodytext,,
NULL,p93,188,100,bodytext,,
NULL,p93,189,100,bodytext,,
NULL,p93,190,100,bodytext,,
NULL,p93,191,100,bodytext,,
NULL,p93,192,4,subhead,Netaṃ ṭhānaṃ vijjativāro,这是不可能的章
NULL,p93,193,100,bodytext,,
NULL,p93,194,100,bodytext,,
NULL,p93,195,100,bodytext,,
NULL,p93,196,100,bodytext,,
NULL,p93,197,100,bodytext,,
NULL,p93,198,100,bodytext,,
NULL,p93,199,100,bodytext,,
NULL,p93,200,100,bodytext,,
NULL,p93,201,100,bodytext,,
NULL,p93,202,100,bodytext,,
NULL,p93,203,100,bodytext,,
NULL,p93,204,100,bodytext,,
NULL,p93,205,100,bodytext,,
NULL,p93,206,4,subhead,Diṭṭhigatikādhiṭṭhānavaṭṭakathā,到达见依处的轮回谈说
NULL,p93,207,100,bodytext,,
NULL,p93,208,4,subhead,Vivaṭṭakathādi,还灭之谈说等
NULL,p93,209,100,bodytext,,
NULL,p93,210,100,bodytext,,
NULL,p93,211,100,bodytext,,
NULL,p93,212,100,bodytext,,
NULL,p93,213,100,bodytext,,
NULL,p93,214,100,bodytext,,
NULL,p93,215,100,bodytext,,
NULL,p93,216,100,centered,,
NULL,p93,217,2,chapter,2. Sāmaññaphalasuttaṃ,2、沙门果经
NULL,p93,218,4,subhead,Rājāmaccakathā,国王大臣的谈论
NULL,p93,219,100,bodytext,,
NULL,p93,220,100,bodytext,,
NULL,p93,221,100,bodytext,,
NULL,p93,222,100,bodytext,,
NULL,p93,223,100,bodytext,,
NULL,p93,224,100,bodytext,,
NULL,p93,225,100,bodytext,,
NULL,p93,226,4,subhead,Komārabhaccajīvakakathā,养子耆婆的谈论
NULL,p93,227,100,bodytext,,
NULL,p93,228,100,bodytext,,
NULL,p93,229,100,bodytext,,
NULL,p93,230,100,bodytext,,
NULL,p93,231,100,bodytext,,
NULL,p93,232,4,subhead,Sāmaññaphalapucchā,沙门果的问题
NULL,p93,233,100,bodytext,,
NULL,p93,234,100,bodytext,,
NULL,p93,235,100,bodytext,,
NULL,p93,236,100,bodytext,,
NULL,p93,237,100,bodytext,,
NULL,p93,238,4,subhead,Pūraṇakassapavādo,富兰那迦叶之论
NULL,p93,239,100,bodytext,,
NULL,p93,240,100,bodytext,,
NULL,p93,241,100,bodytext,,
NULL,p93,242,4,subhead,Makkhaligosālavādo,末迦利瞿舍罗之论
NULL,p93,243,100,bodytext,,
NULL,p93,244,100,bodytext,,
NULL,p93,245,100,bodytext,,
NULL,p93,246,4,subhead,Ajitakesakambalavādo,阿夷多翅舍钦婆罗之论
NULL,p93,247,100,bodytext,,
NULL,p93,248,100,bodytext,,
NULL,p93,249,100,bodytext,,
NULL,p93,250,4,subhead,Pakudhakaccāyanavādo,浮陀迦旃延之论
NULL,p93,251,100,bodytext,,
NULL,p93,252,100,bodytext,,
NULL,p93,253,100,bodytext,,
NULL,p93,254,4,subhead,Nigaṇṭhanāṭaputtavādo,尼干子若提子之论
NULL,p93,255,100,bodytext,,
NULL,p93,256,100,bodytext,,
NULL,p93,257,100,bodytext,,
NULL,p93,258,4,subhead,Sañcayabelaṭṭhaputtavādo,散惹耶毗罗梨子之论
NULL,p93,259,100,bodytext,,
NULL,p93,260,100,bodytext,,
NULL,p93,261,100,bodytext,,
NULL,p93,262,4,subhead,Paṭhamasandiṭṭhikasāmaññaphalaṃ,第一个当生看得见的沙门果
NULL,p93,263,100,bodytext,,
NULL,p93,264,100,bodytext,,
NULL,p93,265,100,bodytext,,
NULL,p93,266,100,bodytext,,
NULL,p93,267,4,subhead,Dutiyasandiṭṭhikasāmaññaphalaṃ,第二个当生看得见的沙门果
NULL,p93,268,100,bodytext,,
NULL,p93,269,100,bodytext,,
NULL,p93,270,100,bodytext,,
NULL,p93,271,100,bodytext,,
NULL,p93,272,4,subhead,Paṇītatarasāmaññaphalaṃ,更胜妙的沙门果
NULL,p93,273,100,bodytext,,
NULL,p93,274,100,bodytext,,
NULL,p93,275,100,bodytext,,
NULL,p93,276,100,bodytext,,
NULL,p93,277,100,bodytext,,
NULL,p93,278,4,subhead,Cūḷasīlaṃ,小戒
NULL,p93,279,100,bodytext,,
NULL,p93,280,100,bodytext,,
NULL,p93,281,100,bodytext,,
NULL,p93,282,100,bodytext,,
NULL,p93,283,100,bodytext,,
NULL,p93,284,100,bodytext,,
NULL,p93,285,100,bodytext,,
NULL,p93,286,100,bodytext,,
NULL,p93,287,100,centered,,
NULL,p93,288,4,subhead,Majjhimasīlaṃ,中戒
NULL,p93,289,100,bodytext,,
NULL,p93,290,100,bodytext,,
NULL,p93,291,100,bodytext,,
NULL,p93,292,100,bodytext,,
NULL,p93,293,100,bodytext,,
NULL,p93,294,100,bodytext,,
NULL,p93,295,100,bodytext,,
NULL,p93,296,100,bodytext,,
NULL,p93,297,100,bodytext,,
NULL,p93,298,100,bodytext,,
NULL,p93,299,100,centered,,
NULL,p93,300,4,subhead,Mahāsīlaṃ,大戒
NULL,p93,301,100,bodytext,,
NULL,p93,302,100,bodytext,,
NULL,p93,303,100,bodytext,,
NULL,p93,304,100,bodytext,,
NULL,p93,305,100,bodytext,,
NULL,p93,306,100,bodytext,,
NULL,p93,307,100,bodytext,,
NULL,p93,308,100,bodytext,,
NULL,p93,309,100,centered,,
NULL,p93,310,4,subhead,Indriyasaṃvaro,根的自制
NULL,p93,311,100,bodytext,,
NULL,p93,312,4,subhead,Satisampajaññaṃ,正念与正知
NULL,p93,313,100,bodytext,,
NULL,p93,314,4,subhead,Santoso,知足
NULL,p93,315,100,bodytext,,
NULL,p93,316,4,subhead,Nīvaraṇappahānaṃ,（暂缺）
NULL,p93,317,100,bodytext,,
NULL,p93,318,100,bodytext,,
NULL,p93,319,100,bodytext,,
NULL,p93,320,100,bodytext,,
NULL,p93,321,100,bodytext,,
