id,book,par_num,100,class,title,text
NULL,p94,1,100,centered,,
NULL,p94,2,100,nikaya,,
NULL,p94,3,1,book,Mahāvaggapāḷi,大品
NULL,p94,4,2,chapter,1. Mahāpadānasuttaṃ,14、譬喻大经
NULL,p94,5,4,subhead,Pubbenivāsapaṭisaṃyuttakathā,与前世住处有关的谈说
NULL,p94,6,100,bodytext,,
NULL,p94,7,100,bodytext,,
NULL,p94,8,100,bodytext,,
NULL,p94,9,100,bodytext,,
NULL,p94,10,100,bodytext,,
NULL,p94,11,100,bodytext,,
NULL,p94,12,100,bodytext,,
NULL,p94,13,100,bodytext,,
NULL,p94,14,100,bodytext,,
NULL,p94,15,100,bodytext,,
NULL,p94,16,100,bodytext,,
NULL,p94,17,100,bodytext,,
NULL,p94,18,100,bodytext,,
NULL,p94,19,100,bodytext,,
NULL,p94,20,100,bodytext,,
NULL,p94,21,100,bodytext,,
NULL,p94,22,100,bodytext,,
NULL,p94,23,100,bodytext,,
NULL,p94,24,100,bodytext,,
NULL,p94,25,100,bodytext,,
NULL,p94,26,100,bodytext,,
NULL,p94,27,100,bodytext,,
NULL,p94,28,100,bodytext,,
NULL,p94,29,100,bodytext,,
NULL,p94,30,100,bodytext,,
NULL,p94,31,100,bodytext,,
NULL,p94,32,100,bodytext,,
NULL,p94,33,100,bodytext,,
NULL,p94,34,100,bodytext,,
NULL,p94,35,100,bodytext,,
NULL,p94,36,100,bodytext,,
NULL,p94,37,100,bodytext,,
NULL,p94,38,4,subhead,Bodhisattadhammatā,菩萨常法
NULL,p94,39,100,bodytext,,
NULL,p94,40,100,bodytext,,
NULL,p94,41,100,bodytext,,
NULL,p94,42,100,bodytext,,
NULL,p94,43,100,bodytext,,
NULL,p94,44,100,bodytext,,
NULL,p94,45,100,bodytext,,
NULL,p94,46,100,bodytext,,
NULL,p94,47,100,bodytext,,
NULL,p94,48,100,bodytext,,
NULL,p94,49,100,bodytext,,
NULL,p94,50,100,bodytext,,
NULL,p94,51,100,bodytext,,
NULL,p94,52,100,bodytext,,
NULL,p94,53,100,bodytext,,
NULL,p94,54,100,bodytext,,
NULL,p94,55,4,subhead,Dvattiṃsamahāpurisalakkhaṇā,三十二大丈夫相
NULL,p94,56,100,bodytext,,
NULL,p94,57,100,bodytext,,
NULL,p94,58,100,bodytext,,
NULL,p94,59,100,bodytext,,
NULL,p94,60,100,bodytext,,
NULL,p94,61,100,bodytext,,
NULL,p94,62,100,bodytext,,
NULL,p94,63,100,bodytext,,
NULL,p94,64,100,bodytext,,
NULL,p94,65,100,bodytext,,
NULL,p94,66,100,bodytext,,
NULL,p94,67,100,bodytext,,
NULL,p94,68,100,bodytext,,
NULL,p94,69,100,bodytext,,
NULL,p94,70,100,bodytext,,
NULL,p94,71,100,bodytext,,
NULL,p94,72,100,bodytext,,
NULL,p94,73,100,bodytext,,
NULL,p94,74,100,bodytext,,
NULL,p94,75,100,bodytext,,
NULL,p94,76,100,bodytext,,
NULL,p94,77,100,bodytext,,
NULL,p94,78,100,bodytext,,
NULL,p94,79,100,bodytext,,
NULL,p94,80,100,bodytext,,
NULL,p94,81,100,bodytext,,
NULL,p94,82,100,bodytext,,
NULL,p94,83,100,bodytext,,
NULL,p94,84,100,bodytext,,
NULL,p94,85,100,bodytext,,
NULL,p94,86,100,bodytext,,
NULL,p94,87,100,bodytext,,
NULL,p94,88,100,bodytext,,
NULL,p94,89,100,bodytext,,
NULL,p94,90,100,bodytext,,
NULL,p94,91,4,subhead,Vipassīsamaññā,毗婆尸的称呼
NULL,p94,92,100,bodytext,,
