1,三藏根本,0
2,經藏,0
3,長部,0
4,《戒蘊品》,93
4,《大品》,94
4,《巴提咖品》,95
3,中部,0
4,《根本五十經》,164
4,《中五十經》,165
4,《後五十經》,166
3,相應部,0
4,《有偈品》,167
4,《因緣品》,168
4,《蘊品》,169
4,《六處品》,170
4,《大品》,171
3,增支部,0
4,《一集》,84
4,《二集》,85
4,《三集》,86
4,《四集》,87
4,《五集》,88
4,《六集》,89
4,《七集》,90
4,《八集》,91
4,《九集》,92
4,《十集》,82
4,《十一集》,83
3,小部,0
4,《小誦》,154
4,《法句》,156
4,《自說》,157
4,《如是語》,158
4,《經集》,159
4,《天宮故事》,160
4,《鬼故事》,161
4,《長老偈》,162
4,《長老尼偈》,163
4,《長老傳記1》,143
4,《長老傳記2》,144
4,《諸佛史》,145
4,《所行藏》,146
4,《本生1》,147
4,《本生2》,148
4,《大義釋》,149
4,《小義釋》,150
4,《無礙解道》,151
4,《導論》,152
4,《彌林達問經》,153
4,《藏釋》,155
2,律藏,0
3,經分別,0
4,《巴拉基咖》,213
4,《巴吉蒂亞》,214
3,犍度,0
4,《大品》,215
4,《小品》,216
3,附隨,0
4,《附隨》,217
2,阿毗達摩藏,0
3,法集論,0
4,《法集論》,73
3,分別論,0
4,《分別論》,74
3,界論,0
4,《界論》,75
3,人施設論,0
4,《人施設論》,76
3,論事,0
4,《論事》,77
3,雙論,0
4,《雙論一》,78
4,《雙論二》,79
4,《雙論三》,80
3,發趣論,0
4,《發趣論一》,81
4,《發趣論二》,69
4,《發趣論三》,70
4,《發趣論四》,71
4,《發趣論五》,72
1,義注,0
2,經藏,0
3,長部,0
4,《戒蘊品》,103
4,《大品》,104
4,《巴提咖品》,105
3,中部,0
4,《根本五十經》,130
4,《中五十經》,131
4,《後五十經》,132
3,相應部,0
4,《有偈品》,133
4,《因緣品》,134
4,《蘊品》,135
4,《六處品》,136
4,《大品》,137
3,增支部,0
4,《壹》,99
4,《貳三肆》,100
4,《伍陸柒》,101
4,《捌》,102
3,小部,0
4,《小誦》,116
4,《法句》,122
4,《自說》,123
4,《如是語》,124
4,《經集》,125
4,《天宮故事》,126
4,《鬼故事》,127
4,《長老偈一》,128
4,《長老偈二》,129
4,《長老尼偈》,106
4,《譬喻經》,107
4,《佛種姓》,108
4,《所行藏》,109
4,《本生一》,110
4,《本生二》,111
4,《本生三》,112
4,《本生四》,113
4,《本生五》,114
4,《本生六》,115
4,《本生七》,117
4,《大義釋》,118
4,《小義釋》,119
4,《無礙解道》,120
4,《導論》,121
2,律藏,0
3,經分別,0
4,《巴拉基咖》,138
4,《巴吉蒂亞》,139
3,犍度,0
4,《大品》,140
4,《小品》,141
3,附隨,0
4,《附隨》,142
2,阿毗達摩藏,0
4,《法集論》,96
4,《去除愚癡》,97
4,《五部論注》,98
1,複注,0
2,經藏,0
3,長部,0
4,《戒蘊品》,185
4,《大品》,186
4,《巴提咖品》,187
4,《戒蘊品新複注》（一）,188
4,《戒蘊品新複注》（二）,189
3,中部,0
4,《根本五十經》,192
4,《中五十經》,193
4,《後五十經》,194
3,相應部,0
4,《有偈品》,195
4,《因緣品》,196
4,《蘊品》,197
4,《六處品》,198
4,《大品》,199
3,增支部,0
4,《壹》,181
4,《貳三肆》,182
4,《伍陸柒》,183
4,《捌》,184
3,小部,0
4,《導論》,190
4,《導明釋》,191
2,律藏,0
4,《心義燈一》,204
4,《心義燈二》,205
4,《心義燈三》,206
4,《兩部本母》《疑惑度脫》,207
4,《律攝》,208
4,《金剛覺》,209
4,《疑惑解除》,210
4,《律莊嚴》,211
4,《疑惑度脫古複注》,212
4,《律裁定》《上裁定》,200
4,《律裁定複注》,201
4,《巴吉蒂亞解說》,202
4,《小學，根本學複注》,203
2,阿毗達摩藏,0
4,《法集論根本》,172
4,《分別論根本》,173
4,《五部論根本》,174
4,《法集論再複注》,175
4,《五部論再複注》,176
4,《入阿毗達摩論-名色差別論》,177
4,《攝阿毗達摩義論》,178
4,《入阿毗達摩論古複注》,179
4,《阿毗達摩論母》,180
1,其他典籍,0
2,清淨之道,0
4,《清淨之道-1》,64
