book,paragraph,level,title,tag
11,2,1,subodhālaṅkāraṭīkā,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,3,2,ganthārambhakathā,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,20,2,1. dosāvabodha paṭhamapariccheda,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,807,2,2. dosaparihārāvabodhaparicchedavaṇṇanā,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,1108,2,3. guṇāvabodhapariccheda,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,1475,2,4. atthālaṅkārāvabodhapariccheda,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,2536,2,5. bhāvāvabodhapariccheda,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
11,2723,2,ṭhāyībhāvaniddesa,:añña::byākaraṇa ganthasaṅgaha::subodhālaṅkāra::subodhālaṅkāraṭīkā::nirutti:
12,2,1,bālāvatāra,:añña::byākaraṇa ganthasaṅgaha::bālāvatāra::nirutti::avatāra:
12,42,2,1. sandhi kaṇḍa,:añña::byākaraṇa ganthasaṅgaha::bālāvatāra::nirutti::avatāra:
12,182,2,2. nāmakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::bālāvatāra::nirutti::avatāra:
12,619,2,3. samāsakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::bālāvatāra::nirutti::avatāra:
12,735,2,4. taddhitakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::bālāvatāra::nirutti::avatāra:
13,2,1,moggallānasuttapāṭho,:añña::byākaraṇa ganthasaṅgaha::moggallānasuttapāṭha::nirutti:
13,1105,1,moggallānabyākaraṇaṃ,:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,1106,2,1. paṭhamo saññādikaṇḍo,:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,1236,2,2. dutiyo kaṇḍo (syādi),:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,1738,2,(3) tatiyo kaṇḍo (samāso),:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,1973,2,4. catuttho kaṇḍo (ṇādi),:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,2250,2,5. pañcamo kaṇḍo (khādi),:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,2609,2,6. chaṭṭho kaṇḍo (tyādi),:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
13,2771,2,7. sattamo kaṇḍo (ṇvādi),:añña::byākaraṇa ganthasaṅgaha::moggallānabyākaraṇa::nirutti:
14,2,1,kaccāyanabyākaraṇaṃ,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,715,1,mahākaccāyanasaddāpāṭha,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,716,2,1. sandhikappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,948,2,2. nāmakappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,1883,2,3. kārakakappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,2109,2,4. samāsakappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,2249,2,5. taddhitakappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,2520,2,6. ākhyātakappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,2955,2,7. kibbidhānakappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
14,3321,2,8. uṇādikappa,:añña::byākaraṇa ganthasaṅgaha::kaccāyanabyākaraṇa::nirutti:
15,2,1,saddanītippakaraṇaṃ (padamālā),:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,3,2,ganthārambhakathā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,34,2,1. savikaraṇākhyātavibhāga,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,212,2,2. bhavatikriyāpadamālāvibhāga,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,427,2,3. pakiṇṇakavinicchaya,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,840,2,4. bhūdhātumayanāmikarūpavibhāga,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,1158,2,5. okārantapulliṅganāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,1525,2,6. ākārantapulliṅganāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,1736,2,7. niggahītantapulliṅganāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,1992,2,8. itthiliṅganāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,2194,2,9. napuṃsakaliṅganāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,2262,2,10. liṅgattayamissakanāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,2365,2,11. vāccābhidheyyaliṅgādiparidīpananāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,2538,2,12. sabbanāmataṃsadisanāmanāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,2823,2,13. savinicchayasaṅkhyānāmanāmikapadamālā,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
15,2915,2,14. atthattikavibhāga,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::padamālā::nirutti:
16,2,1,saddanītippakaraṇaṃ(dhātumālā),:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::dhātumālā::nirutti:
16,4,2,15. saravaggapañcakantika suddhassaradhātu,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::dhātumālā::nirutti:
